Filename,Description
20230901_133640.jpg,"María Cristina Nanton, Geraldine Gomez, Roberto Villegas-Diaz, Renata Hirota, Caio Lente,  Paola Corrales, Elio Campitelli"
20230901_133732.jpg,"María Cristina Nanton, Geraldine Gomez, Roberto Villegas-Diaz, Renata Hirota, Caio Lente,  Paola Corrales, Elio Campitelli"
20230901_133736.jpg,"María Cristina Nanton, Geraldine Gomez, Roberto Villegas-Diaz, Renata Hirota, Caio Lente,  Paola Corrales, Elio Campitelli"
IMG_4049.jpg,Panoramic group photo Thursday Aug 31 2023
IMG_4050.jpg,Panoramic group photo Thursday Aug 31 2023
IMG_6924.jpeg,Group photo Friday Sep 1 2023
IMG_6927.jpeg,Group photo Friday Sep 1 2023
IMG_6930.jpeg,Group photo Friday Sep 1 2023
IMG_6932.jpeg,Group photo Friday Sep 1 2023
IMG_6934.jpeg,Group photo Friday Sep 1 2023
PXL_20230901_090053016.jpg,"Saranjeet Kaur Bhogal, Ahmadou Dicko, Shannon Pileggi"
